countryid,teamName,countryCode,teamNameClean,teamNameCleanAll,FlagPath,FlagPathWeb,filename_x
178,Cayman Islands,CAY,cayman islands,caymanislands,flags-normal/flag-of-Cayman-Islands.png,,flag-of-Cayman-Islands.png
197,Central African Republic,CTA,central african republic,centralafricanrepublic,flags-normal/flag-of-Central-African-Republic.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Central-African-Republic.png,flag-of-Central-African-Republic.png
195,Chad,CHA,chad,chad,flags-normal/flag-of-Chad.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Chad.png,flag-of-Chad.png
3,Chile,CHI,chile,chile,flags-normal/flag-of-Chile.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Chile.png,flag-of-Chile.png
22,China,CHN,china,china,flags-normal/flag-of-China.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-China.png,flag-of-China.png
157,Chinese Taipei,TPE,chinese taipei,chinesetaipei,flags-normal/flag-of-Taiwan.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Taiwan.png,flag-of-Taiwan.png
4,Colombia,COL,colombia,colombia,flags-normal/flag-of-Colombia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Colombia.png,flag-of-Colombia.png
199,Comoros,COM,comoros,comoros,flags-normal/flag-of-Comoros.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Comoros.png,flag-of-Comoros.png
120,Congo,CGO,congo,congo,flags-normal/flag-of-Congo.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Congo.png,flag-of-Congo.png
155,Cook Islands,COK,cook islands,cookislands,flags-normal/flag-of-Cook-Islands.png,,flag-of-Cook-Islands.png
92,Costa Rica,CRC,costa rica,costarica,flags-normal/flag-of-Costa-Rica.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Costa-Rica.png,flag-of-Costa-Rica.png
111,Ivory Coast,CIV,ivory coast,ivorycoast,flags-normal/flag-of-Cote-d-Ivoire.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Cote-d-Ivoire.png,flag-of-Cote-d-Ivoire.png
47,Croatia,CRO,croatia,croatia,flags-normal/flag-of-Croatia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Croatia.png,flag-of-Croatia.png
97,Cuba,CUB,cuba,cuba,flags-normal/flag-of-Cuba.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Cuba.png,flag-of-Cuba.png
177,Curaçao,CUW,curacao,curacao,flags-normal/flag-of-Curacao.png,,flag-of-Curacao.png
