countryid,NationalTeamName,NationalTeamsNameFiltering,FlagPath,FlagPathWeb
177,CURACAO,curacao,,
79,CYPRUS,cyprus,flags-normal/flag-of-Cyprus.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Cyprus.png
48,Czechia,czechia,flags-normal/flag-of-Czech-Republic.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Czech-Republic.png
49,DENMARK,denmark,flags-normal/flag-of-Denmark.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Denmark.png
203,DJIBOUTI,djibouti,flags-normal/flag-of-Djibouti.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Djibouti.png
170,DOMINICA,dominica,flags-normal/flag-of-Dominica.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Dominica.png
171,DOMINICAN REPUBLIC,dominicanrepublic,flags-normal/flag-of-Dominican-Republic.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Dominican-Republic.png
121,Congo Democratic Republic of the,congodemocraticrepublicofthe,flags-normal/flag-of-Congo-Democratic-Republic-of.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Congo-Democratic-Republic-of.png
5,ECUADOR,ecuador,flags-normal/flag-of-Ecuador.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Ecuador.png
122,EGYPT,egypt,flags-normal/flag-of-Egypt.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Egypt.png
107,EL SALVADOR,elsalvador,flags-normal/flag-of-El-Salvador.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-El-Salvador.png
50,ENGLAND,england,,
133,EQUATORIAL GUINEA,equatorialguinea,flags-normal/flag-of-Equatorial-Guinea.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Equatorial-Guinea.png
201,ERITREA,eritrea,flags-normal/flag-of-Eritrea.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Eritrea.png
90,ESTONIA,estonia,flags-normal/flag-of-Estonia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Estonia.png
150,ESWATINI,eswatini,flags-normal/flag-of-Eswatini.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Eswatini.png
140,ETHIOPIA,ethiopia,flags-normal/flag-of-Ethiopia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Ethiopia.png
167,FAROE ISLANDS,faroeislands,,
14,FIJI,fiji,flags-normal/flag-of-Fiji.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Fiji.png
51,FINLAND,finland,flags-normal/flag-of-Finland.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Finland.png
52,FRANCE,france,flags-normal/flag-of-France.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-France.png
212,FRENCH GUIANA,frenchguiana,,
215,Micronesia,micronesia,flags-normal/flag-of-Micronesia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Micronesia.png
124,GABON,gabon,flags-normal/flag-of-Gabon.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Gabon.png
141,GAMBIA,gambia,flags-normal/flag-of-Gambia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Gambia.png
80,GEORGIA,georgia,flags-normal/flag-of-Georgia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Georgia.png
53,GERMANY,germany,flags-normal/flag-of-Germany.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Germany.png
112,GHANA,ghana,flags-normal/flag-of-Ghana.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Ghana.png
204,GIBRALTAR,gibraltar,,
54,GREECE,greece,flags-normal/flag-of-Greece.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Greece.png
173,GRENADA,grenada,flags-normal/flag-of-Grenada.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Grenada.png
213,GUADELOUPE,guadeloupe,,
223,GUAM,guam,,
98,GUATEMALA,guatemala,flags-normal/flag-of-Guatemala.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Guatemala.png
125,GUINEA,guinea,flags-normal/flag-of-Guinea.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Guinea.png
181,GuineaBissau,guineabissau,flags-normal/flag-of-Guinea-Bissau.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Guinea-Bissau.png
99,GUYANA,guyana,flags-normal/flag-of-Guyana.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Guyana.png
100,HAITI,haiti,flags-normal/flag-of-Haiti.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Haiti.png
101,HONDURAS,honduras,flags-normal/flag-of-Honduras.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Honduras.png
31,HONG KONG,hongkong,,
55,HUNGARY,hungary,flags-normal/flag-of-Hungary.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Hungary.png
81,ICELAND,iceland,flags-normal/flag-of-Iceland.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Iceland.png
43,INDIA,india,flags-normal/flag-of-India.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-India.png
39,INDONESIA,indonesia,flags-normal/flag-of-Indonesia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Indonesia.png
17,IRAN,iran,flags-normal/flag-of-Iran.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Iran.png
24,IRAQ,iraq,flags-normal/flag-of-Iraq.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Iraq.png
82,ISRAEL,israel,flags-normal/flag-of-Israel.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Israel.png
57,ITALY,italy,flags-normal/flag-of-Italy.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Italy.png
102,JAMAICA,jamaica,flags-normal/flag-of-Jamaica.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Jamaica.png
18,JAPAN,japan,flags-normal/flag-of-Japan.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Japan.png
25,JORDAN,jordan,flags-normal/flag-of-Jordan.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Jordan.png
87,KAZAKHSTAN,kazakhstan,flags-normal/flag-of-Kazakhstan.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Kazakhstan.png
136,KENYA,kenya,flags-normal/flag-of-Kenya.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Kenya.png
34,North Korea,northkorea,flags-normal/flag-of-Korea-North.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Korea-North.png
194,KOSOVO,kosovo,flags-normal/flag-of-Kosovo.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Kosovo.png
26,KUWAIT,kuwait,flags-normal/flag-of-Kuwait.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Kuwait.png
40,KYRGYZSTAN,kyrgyzstan,flags-normal/flag-of-Kyrgyzstan.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Kyrgyzstan.png
186,LAOS,laos,flags-normal/flag-of-Laos.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Laos.png
58,LATVIA,latvia,flags-normal/flag-of-Latvia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Latvia.png
37,LEBANON,lebanon,flags-normal/flag-of-Lebanon.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Lebanon.png
200,LESOTHO,lesotho,flags-normal/flag-of-Lesotho.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Lesotho.png
149,LIBERIA,liberia,flags-normal/flag-of-Liberia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Liberia.png
126,LIBYA,libya,flags-normal/flag-of-Libya.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Libya.png
89,LIECHTENSTEIN,liechtenstein,flags-normal/flag-of-Liechtenstein.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Liechtenstein.png
83,LITHUANIA,lithuania,flags-normal/flag-of-Lithuania.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Lithuania.png
